filename,label
synthetic_data\sample_0.nii.gz,1
synthetic_data\sample_1.nii.gz,0
synthetic_data\sample_2.nii.gz,0
synthetic_data\sample_3.nii.gz,1
synthetic_data\sample_4.nii.gz,0
synthetic_data\sample_5.nii.gz,0
synthetic_data\sample_6.nii.gz,1
synthetic_data\sample_7.nii.gz,1
synthetic_data\sample_8.nii.gz,1
synthetic_data\sample_9.nii.gz,1
synthetic_data\sample_10.nii.gz,1
synthetic_data\sample_11.nii.gz,1
synthetic_data\sample_12.nii.gz,1
synthetic_data\sample_13.nii.gz,0
synthetic_data\sample_14.nii.gz,1
synthetic_data\sample_15.nii.gz,0
synthetic_data\sample_16.nii.gz,1
synthetic_data\sample_17.nii.gz,1
synthetic_data\sample_18.nii.gz,0
synthetic_data\sample_19.nii.gz,1
synthetic_data\sample_20.nii.gz,0
synthetic_data\sample_21.nii.gz,0
synthetic_data\sample_22.nii.gz,0
synthetic_data\sample_23.nii.gz,0
synthetic_data\sample_24.nii.gz,0
synthetic_data\sample_25.nii.gz,0
synthetic_data\sample_26.nii.gz,1
synthetic_data\sample_27.nii.gz,1
synthetic_data\sample_28.nii.gz,1
synthetic_data\sample_29.nii.gz,0
